day_of_week,table_slot,table_size,slope,intercept,observation_count,,,0.1,0.2,0.4,0.2,0.1,,
1,8:00,2,0,1,1815,,,,,,,,,
1,8:00,4,0,1,1797,,,,,,,,,
1,8:30,2,0,1,1815,,,,,,,,,
1,8:30,4,0,1,1797,,,,,,,,,
1,9:00,2,7.83E-08,0.8516467078,1962,,,0.40,0.20,0.20,0.20,0.40,,
1,9:00,4,7.83E-08,0.8498289254,1938,,,,,,,,,
1,9:30,2,4.63E-09,0.9918608607,1962,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30
1,9:30,4,7.43E-08,0.8534664887,1938,0,0,1,0,0,0,1,0,0
1,10:00,2,2.56E-08,0.9489520069,1962,,,,,,,,,
1,10:00,4,3.11E-08,0.9441597138,1938,,,,,,,,,
1,10:30,2,2.18E-08,0.9604810622,1962,,,,,,,,,
1,10:30,4,4.90E-08,0.8777568888,1938,,,,,,,,,
1,10:45,2,7.76E-08,0.8555162608,1825,,,,,,,,,
1,10:45,4,5.40E-09,0.8459267559,1797,,,,,,,,,
1,11:00,2,-5.77E-08,0.2250026141,1024,,,,,,,,,
1,11:00,4,3.07E-08,0.04599142938,1010,,,,,,,,,
1,11:30,2,7.66E-09,0.9863927133,1977,,,,,,,,,
1,11:30,4,5.71E-08,0.8489005286,1953,,,,,,,,,
1,12:00,2,3.29E-08,0.9400064129,1977,,,,,,,,,
1,12:00,4,4.91E-08,0.9094667142,1954,,,,,,,,,
1,12:30,2,5.45E-08,0.8321402808,1977,,,,,,,,,
1,12:30,4,1.28E-07,0.7503335517,1954,,,,,,,,,
1,13:00,2,3.25E-08,0.9373841086,1977,,,,,,,,,
1,13:00,4,-2.74E-09,0.0680894713,1954,,,,,,,,,
1,13:30,2,4.41E-08,0.9088424183,1977,,,,,,,,,
1,13:30,4,7.58E-08,0.8228731749,1954,,,,,,,,,
1,14:00,2,1.07E-08,0.9792905231,1977,,,,,,,,,
1,14:00,4,4.16E-08,0.9185534703,1954,,,,,,,,,
1,14:30,2,0,1,1977,,,,,,,,,
1,14:30,4,7.49E-09,0.9865338773,1954,,,,,,,,,
1,15:00,2,1.15E-09,0.9979665538,1977,,,,,,,,,
1,15:00,4,1.16E-07,0.7210987019,1954,,,,,,,,,
1,15:30,2,-8.78E-08,0.232965253,1977,,,,,,,,,
1,15:30,4,7.43E-08,0.845406119,1954,,,,,,,,,
1,15:45,2,1.87E-08,0.9535569515,1829,,,,,,,,,
1,15:45,4,1.40E-07,0.7281908343,1812,,,,,,,,,
1,17:00,2,2.72E-08,0.9489754961,1994,,,,,,,,,
1,17:00,4,3.20E-08,0.9393391388,1962,,,,,,,,,
1,17:30,2,3.41E-08,0.9293656428,1995,,,,,,,,,
1,17:30,4,6.35E-08,0.8726242437,1972,,,,,,,,,
1,18:00,2,1.19E-07,0.6960379778,1995,,,,,,,,,
1,18:00,4,2.13E-07,0.5156968406,1972,,,,,,,,,
1,19:00,2,4.18E-08,0.03317721346,1996,,,,,,,,,
1,19:00,4,3.93E-07,-0.08334360296,1973,,,,,,,,,
1,19:30,2,2.95E-07,0.1836728019,1996,,,,,,,,,
1,19:30,4,3.33E-07,0.2108149369,1973,,,,,,,,,
1,20:00,2,1.02E-07,0.7086402485,1996,,,,,,,,,
1,20:00,4,3.66E-07,0.06320268423,1973,,,,,,,,,
1,20:30,2,3.68E-07,0.05932646063,1996,,,,,,,,,
1,20:30,4,-6.54E-09,0.01173274515,1973,,,,,,,,,
1,21:00,2,4.18E-08,0.9106397471,1996,,,,,,,,,
1,21:00,4,2.08E-07,0.4429204711,1973,,,,,,,,,
1,21:30,2,3.10E-08,0.9154469418,1996,,,,,,,,,
1,21:30,4,2.94E-07,0.04260901843,1973,,,,,,,,,
1,22:00,2,0,1,1996,,,,,,,,,
1,22:00,4,0,1,1973,,,,,,,,,
1,22:30,2,0,1,1996,,,,,,,,,
1,22:30,4,0,1,1973,,,,,,,,,
1,22:45,2,-2.60E-08,0.914168965,2007,,,,,,,,,
1,23:00,2,0,1,2010,,,,,,,,,
1,23:00,4,0,1,1978,,,,,,,,,
2,8:00,2,0,1,1969,,,,,,,,,
2,8:00,4,0,1,1944,,,,,,,,,
2,8:30,2,3.40E-09,0.9940085415,1969,,,,,,,,,
2,8:30,4,2.32E-09,0.9959330379,1944,,,,,,,,,
2,9:00,2,7.40E-08,0.8646890318,1969,,,,,,,,,
2,9:00,4,8.12E-08,0.8472183704,1944,,,,,,,,,
2,9:30,2,4.58E-09,0.9919449081,1969,,,,,,,,,
2,9:30,4,1.12E-07,0.7906710206,1944,,,,,,,,,
2,10:00,2,8.92E-09,0.9841767019,1969,,,,,,,,,
2,10:00,4,1.43E-08,0.971895736,1944,,,,,,,,,
2,10:30,2,3.71E-08,0.9271952973,1969,,,,,,,,,
2,10:30,4,1.64E-08,0.9707474837,1944,,,,,,,,,
